location,source,target
both_ui/otherplayerinfo_en|0|2|6|1|1|6,運,운
both_ui/otherplayerinfo_en|0|2|6|1|1|8|0,攻,공
both_ui/otherplayerinfo_en|0|2|6|1|1|8|1,防,방
both_ui/otherplayerinfo_en|0|2|6|1|1|8|2,速,속
both_ui/otherplayerinfo_en|0|2|6|1|1|8|3,運,운
both_ui/otherplayerinfo_en|0|2|6|1|1|9|0,スタイル,스타일
both_ui/otherplayerinfo_en|0|2|6|1|2|6,4,4
both_ui/otherplayerinfo_en|0|2|6|1|2|6|0,位,위
both_ui/otherplayerinfo_en|0|2|6|1|2|7,3,3
both_ui/otherplayerinfo_en|0|2|6|1|2|7|0,位,위
both_ui/otherplayerinfo_en|0|2|6|1|2|8,2,2
both_ui/otherplayerinfo_en|0|2|6|1|2|8|0,位,위
both_ui/otherplayerinfo_en|0|2|6|1|2|9,1,1
both_ui/otherplayerinfo_en|0|2|6|1|2|9|0,位,위
both_ui/otherplayerinfo_en|0|2|6|1|2|10|0,対戦記録,대전기록
both_ui/otherplayerinfo_en|0|2|6|1|3|0|0,対戦詳細,대전상세
both_ui/otherplayerinfo_en|0|2|6|1|4|0|2,東風戦,동풍전
both_ui/otherplayerinfo_en|0|2|6|1|4|1|0,一位率,1위율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|2,二位率,2위율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|4,三位率,3위율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|6|0,四位率,4위율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|7|0,飛び率,들통율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|8,対戦数,대전 수
both_ui/otherplayerinfo_en|0|2|6|1|4|1|10,平均和了,평균타점
both_ui/otherplayerinfo_en|0|2|6|1|4|1|12,平均順位,평균순위
both_ui/otherplayerinfo_en|0|2|6|1|4|1|14,最大連荘,최대연짱
both_ui/otherplayerinfo_en|0|2|6|1|4|1|16,和了巡数,화료 순
both_ui/otherplayerinfo_en|0|2|6|1|4|1|18,和了率,화료율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|20,ツモ率,쯔모율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|22,放銃率,방총률
both_ui/otherplayerinfo_en|0|2|6|1|4|1|24,副露率,후로율
both_ui/otherplayerinfo_en|0|2|6|1|4|1|26,立直率,리치율
both_ui/otherplayerinfo_en|0|2|6|1|5|0|2,半荘戦,반장전
both_ui/otherplayerinfo_en|0|2|6|1|5|1|0,一位率,1위율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|2,二位率,2위율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|4,三位率,3위율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|6|0,四位率,4위율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|7|0,飛び率,들통율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|8,対戦数,대전 수
both_ui/otherplayerinfo_en|0|2|6|1|5|1|10,平均和了,평균타점
both_ui/otherplayerinfo_en|0|2|6|1|5|1|12,平均順位,평균순위
both_ui/otherplayerinfo_en|0|2|6|1|5|1|14,最大連荘,최대연짱
both_ui/otherplayerinfo_en|0|2|6|1|5|1|16,和了巡数,화료 순
both_ui/otherplayerinfo_en|0|2|6|1|5|1|18,和了率,화료율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|20,ツモ率,쯔모율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|22,放銃率,방총률
both_ui/otherplayerinfo_en|0|2|6|1|5|1|24,副露率,후로율
both_ui/otherplayerinfo_en|0|2|6|1|5|1|26,立直率,리치율
both_ui/otherplayerinfo_en|0|2|6|1|6|0|2,役達成回数,역 완성 횟수
both_ui/otherplayerinfo_en|0|2|6|1|7|0|2,ローカル役達成回数,로컬 역 완성 횟수
both_ui/otherplayerinfo_en|0|3|1,コメントがありません,코멘트가 없습니다.
both_ui/otherplayerinfo_en|0|3|3|0|0,送信,송신
both_ui/otherplayerinfo_en|0|3|4,プレイヤーはコメント機能を友人のみ有効にしています。,해당 플레이어는 코멘트를 친구만 활성화 중입니다.
both_ui/otherplayerinfo_en|0|3|6|1|4|0|0,最近,최근
both_ui/otherplayerinfo_en|0|3|6|1|4|0|2,全部,전부
both_ui/otherplayerinfo_en|0|3|8|2,挨拶がありません,인사말이 없습니다.
both_ui/otherplayerinfo_en|0|3|8|3,挨拶,인사말
both_ui/otherplayerinfo_en|0|5|0,4人戦,4인전
both_ui/otherplayerinfo_en|0|6|0,3人戦,3인전
both_ui/otherplayerinfo_en|0|7|0,コメント,코멘트
both_ui/popwindow|0|4|0,確認,확인
both_ui/popwindow|1|2|0,確認,확인
both_ui/report_nickname|0|2,不適切な書き込みを発見した際は、カスタムサポートにご報告いただきますようお願いします,부적절한 텍스트를 발견했을 때는 고객센터에 신고해주시길 바랍니다.
both_ui/report_nickname|0|3|0,報告,報告
both_ui/report_nickname|0|4|0,いいえ,아니오
both_ui/report_nickname|0|5,プレイヤー名を報告,플레이어명 보고
both_ui/report_success|0|2,雀士様からのご報告を承りました。ゲーム環境維持にご協力いただき、誠にありがとうございます。,작사様からのご報告を承りました。ゲーム環境維持にご協力いただき、誠にありがとうございます。
both_ui/report_success|0|3|0,閉じる,닫기
both_ui/report_success|0|4,報告完了,報告完了
both_ui/rules|1|1|0|0|2,一飜,1판
both_ui/rules|1|1|0|1|2,二飜,2판
both_ui/rules|1|1|0|2|2,三飜,3판
both_ui/rules|1|1|0|3|2,六飜,6판
both_ui/rules|1|1|0|4|2,満貫,만관
both_ui/rules|1|1|0|5|2,役満,역만
both_ui/rules|1|1|0|6|2,ダブル役満,더블 역만
both_ui/rules|1|1|0|7|2,流局,유국
both_ui/rules|1|1|1|0|0|2,門前清のみ,순정멘젠 한정
both_ui/rules|1|4|0,役種一覧,마작의 역
both_ui/rules|1|5|0,チュートリアル,튜토리얼
both_ui/rules_en|1|1|0|0|2,一飜,1판
both_ui/rules_en|1|1|0|1|2,二飜,2판
both_ui/rules_en|1|1|0|2|2,三飜,3판
both_ui/rules_en|1|1|0|3|2,六飜,6판
both_ui/rules_en|1|1|0|4|2,満貫,만관
both_ui/rules_en|1|1|0|5|2,役満,역만
both_ui/rules_en|1|1|0|6|2,ダブル役満,더블 역만
both_ui/rules_en|1|1|0|7|2,流局,유국
both_ui/rules_en|1|1|1|0|0|2,門前清のみ,순정멘젠 한정
both_ui/rules_en|1|4|0,役種一覧,마작의 역
both_ui/rules_en|1|5|0,チュートリアル,튜토리얼
both_ui/secondconfirm|0|3|0,はい,예
both_ui/secondconfirm|0|4|0,いいえ,아니오
both_ui/unbind_phone|0|2,解除绑定,解除绑定
both_ui/unbind_phone|0|5|0,发送验证码,发送验证码
both_ui/unbind_phone|0|6|0,解除绑定,解除绑定
both_ui/unbind_phone|0|9,注意！解除手机绑定以后该账号将永久冻结，无法登录和使用，请确认以后再进行操作！该操作不可撤销！,注意！解除手机绑定以后该账号将永久冻结，无法登录和사용，请确认以后再进行操作！该操作不可撤销！
both_ui/unbind_yostar_mail|0|2,連携解除,연동해제
both_ui/unbind_yostar_mail|0|5|0,認証コード送信,인증코드 발송
both_ui/unbind_yostar_mail|0|6|0,解除,해제
common/android_change|0|2|0,好的，走起,好的，走起
common/android_change|0|3|0,再等等,잠시 기다리세요.
common/android_change|0|4,好消息！好消息！,好消息！好消息！
common/android_change|0|5,雀魂全新安卓App已在官网开放下载\\n        *更流畅的体验\\n        *更低的耗电\\n        *更少的流量\\n        *更好的全面屏适配,雀魂全新安卓App已在官网开放下载\\n        *更流畅的体验\\n        *更低的耗电\\n        *更少的流量\\n        *更好的全面屏适配
common/android_change|0|6,是否立即前往官网下载？,是否立即前往官网下载？
common/anotherlogin|0|2|0,確認,확인
common/anotherlogin|0|3,他の場所でログインされました,중복 로그인 감지. 다른 장소에서 로그인하였습니다.
common/bind_phone0|0|2,绑定手机,绑定手机
common/bind_phone0|0|7|0,发送验证码,发送验证码
common/bind_phone0|0|8,手机号码：,手机号码：
common/bind_phone0|0|8|0,1,1
common/bind_phone0|0|9,根据网络游戏实名制的相关规定要求，请绑定手机完成认证。,根据网络游戏实名制的相关规定要求，请绑定手机完成认证。
common/bind_phone0|0|10,当前账号昵称:,当前账号昵称:
common/bind_phone0|0|11,暂无昵称,暂无昵称
common/bind_phone0|0|12|0,绑定,绑定
common/bind_phone0|0|13|0,登出账号,登出账号
common/bind_phone1|0|2,绑定手机,绑定手机
common/bind_phone1|0|5|0,发送验证码,发送验证码
common/bind_phone1|0|6|0,绑定,绑定
common/bind_phone1|0|7,手机号码：,手机号码：
common/bind_phone1|0|7|0,28******@qq.com,28******@qq.com
common/bind_phone1|0|8,根据网络游戏实名制的相关规定要求，请绑定手机完成认证。,根据网络游戏实名制的相关规定要求，请绑定手机完成认证。
common/bind_phone1|0|9,当前账号昵称:,当前账号昵称:
common/bind_phone1|0|10,暂无昵称,暂无昵称
common/bind_phone1|0|11|0,登出账号,登出账号
common/bind_phone2|0|2,创建手机通行证,创建手机通行证
common/bind_phone2|0|5,手机号码：,手机号码：
common/bind_phone2|0|5|0,1,1
common/bind_phone2|0|6|0,创建,创建
common/bind_phone2|0|7|0,取消,취소
common/canot_create_phone_account|0|2,信息,정보
common/canot_create_phone_account|0|3|0,了解了,了解了
common/canot_create_phone_account|0|4,该手机号已经创建过通行证，无法为本账号创建通行证，仅作为手机实名信息使用。,该手机号已经创建过通行证，无法为本账号创建通行证，仅作为手机实名信息사용。
common/canot_create_phone_account|0|5,您无法使用该手机号来登录或找回账号。,您无法사용该手机号来登录或找回账号。
common/closeapp|0|2,ゲームを終了しますか,게임을 종료하시겠습니까?
common/closeapp|0|3|0,はい,예
common/closeapp|0|4|0,いいえ,아니오
common/create_phone_account|0|2,创建手机通行证,创建手机通行证
common/create_phone_account|0|3|0,创建,创建
common/create_phone_account|0|4,是否使用该手机号创建一个通行证?\\n创建成功后您可以使用手机号和密码来登陆游戏，也可以通过该手机号来找回该账号。\\n每个手机号只能创建一个通行证。,是否사용该手机号创建一个通行证?\\n创建성공后您可以사용手机号和密码来登陆游戏，也可以通过该手机号来找回该账号。\\n每个手机号只能创建一个通行证。
common/create_phone_account|0|5|0,不用了,不用了
common/create_phone_account_success|0|2,成功,성공
common/create_phone_account_success|0|3|0,好的,好的
common/create_phone_account_success|0|4,创建手机号通行证成功。,휴대전화 인증에 성공
common/create_phone_account_success|0|5,(密码与账号/邮箱通行证的密码一致),(密码与账号/邮箱通行证的密码一致)
common/disconnect|1|2,接続が切断されました。再接続しています,연결이 끊어져 재접속중입니다.
common/disconnect|1|4|0,再起動,재시작
common/errorinfo|1|4|1,再起動,재시작
common/guajichenfa|0|2|0,確認,확인
common/hangup_logout|0|2|0,確認,확인
common/hangup_logout|0|3,長時間無操作のため、接続が切断されました。,장시간 조작이 없어 접속을 종료하였습니다.
common/loading|5|1,/,/
common/preventaddiction|0|0,-,-
common/preventaddiction|0|1,-,-
common/preventaddiction|1|0,累計オンライン時間,누적 접속시간
common/reconnect|2,対戦中の対局があります,대전 중인 대국이 있습니다
common/reconnect|3|0,再接続,재접속
common/shimingrenzheng|0|0|2,本人確認,본인인증
common/shimingrenzheng|0|1|1,本人確認,본인인증
common/shimingrenzheng|0|2,-,-
common/shimingrenzheng|0|3,-,-
common/shimingrenzheng|0|4,-,-
common/shimingrenzheng|0|5,-,-
common/shimingrenzheng|0|6,-,-
common/shimingrenzheng|0|7,-,-
common/user_xieyi|0|0|2,ソフトウェア利用許諾契約,소프트웨어 이용허락계약
common/user_xieyi|0|1|1,同意する,동의한다
common/user_xieyi|0|3|1,前のページ,이전 페이지
common/user_xieyi|0|4|1,次のページ,다음 페이지
common/user_xieyi_dmm|0|4|1,同意,同意
common/user_xieyi_dmm|0|5|1,拒否,拒否
common/user_xieyi_enjp|0|1,用户协议,用户协议
entrance/account_prohibition|0|0|2|0,確認,확인
entrance/change_language|0|2|0,確認,확인
entrance/change_language|0|3|0,いいえ,아니오
entrance/change_language|0|4|0|3,中文(简体),중국어(간체)
entrance/change_language|0|4|1|3,中文(繁體),중국어(번체)
entrance/change_language|0|4|2|3,English,영어
entrance/chooseserver|0|2,选择服务器,选择服务器
entrance/chooseserver|0|4,输入服务器地址：,输入服务器地址：
entrance/chooseserver|0|5,47.245.59.187:7891,47.245.59.187:7891
entrance/choose_language|0|0,更改语言:,更改语言:
entrance/choose_language|2,当前语言：简体中文,当前语言：简体中文
entrance/choose_route|0|0|2,サーバーを選択してください,서버를 선택해주세요.
entrance/entrance|1|2|0|3|2,パスワード,비밀번호
entrance/entrance|1|2|0|4|0,登録,등록
entrance/entrance|1|2|0|5|0,パスワードを忘れた,비밀번호 분실
entrance/entrance|1|2|1|1|3,次回から自動でログインする,다음부터 자동 로그인
entrance/entrance|1|2|2|0,他のサービスIDでログイン,다른 연동된 ID로 로그인
entrance/entrance|1|2|3|1|3,次回から自動でログインする,다음부터 자동 로그인
entrance/entrance|1|3,Chromeの使用をおすすめします,Chrome을 사용하시는 걸 추천합니다.
entrance/entrance|1|4|1,ログイン中,로그인 중
entrance/entrance|1|4|3|1,ログアウト,로그아웃
entrance/entrance|1|5|1,ホーム画面に追加,메인 화면에 추가
entrance/entrance|2|0|0|2,Yostar ログイン,Yostar 로그인
entrance/entrance|2|0|2|2,使用不可,사용불가
entrance/entrance|2|0|4|2,コードを受け取る,인증코드 발송
entrance/entrance|2|0|5|3|0,《雀魂利用規約》,《작혼 이용약관》
entrance/entrance|2|0|5|3|1,、,、
entrance/entrance|2|0|5|3|2,《プライバシーポリシー》,《개인정보보호정책》
entrance/entrance|2|0|5|3|3,に同意する,에 동의
entrance/entrance|2|0|5|4|0,Agree to the,Agree to the
entrance/entrance|2|0|5|4|1,TERMS OF SERVICE,TERMS OF SERVICE
entrance/entrance|2|0|5|4|2,and,and
entrance/entrance|2|0|5|4|3,PRIVACY POLICY,PRIVACY POLICY
entrance/entrance|2|0|7,※メールアドレスを入力してください,※이메일 주소를 입력해주세요
entrance/entrance|2|0|8,※メールアドレスに送信されるコードを入力してください,※이메일 주ㅅ에 발송된 코드를 입력해주세요
entrance/entrance|4|1|0,简体中文,간체중문
entrance/error_info|0|0|2|0,確認,확인
entrance/ios_webview_update|0|1,新しいバージョンの更新があります。公式サイトでダウンロードしてください,새로운 버전이 업데이트되었습니다. 공식 사이트에서 다운로드해주세요.
entrance/mail_regist|0|0|1,登録,등록
entrance/mail_regist|0|0|2|0,SNSアカウントで登録,SNS계정으로 가입
entrance/mail_regist|0|0|9|3,雀魂ソフトウェア利用許諾契約,작혼 소프트웨어 이용약관
entrance/mail_regist|0|0|10|5,、,、
entrance/mail_regist|0|0|11|0,認証コード送信,인증코드 발송
entrance/mail_regist|1|1|1,サーバー接続中,서버 접속중
entrance/maintenance|0|0|2|0,閉じる,닫기
entrance/remind|0,健康游戏公告,健康游戏公告
entrance/remind|0|0,抵制不良游戏，拒绝盗版游戏,抵制不良游戏，拒绝盗版游戏
entrance/remind|0|1,注意自我保护，谨防上当受骗,注意自我保护，谨防上当受骗
entrance/remind|0|2,适度游戏益脑，沉迷游戏伤身,适度游戏益脑，沉迷游戏伤身
entrance/remind|0|3,合理安排时间，享受健康生活,合理安排时间，享受健康生活
entrance/remind|1,区区 立直棒 就送给你了,区区 立直棒 就送给你了
entrance/remind|2,——--,——--
entrance/remind|3,满贯,满贯
entrance/remind|4,跳满,하네만
entrance/remind|5,倍满,배만
entrance/remind|6,役满,역만
entrance/remind|7,2/10,2/10
entrance/reset_password|0|0|1|0|0,送信,송신
entrance/reset_password|0|0|2|0|0,確認,확인
entrance/reset_password_phone2|0|2|0,確認,확인
